ID|Language|Label|Definition|Description|Governance level ID|Governance level Label|Codelist ID|Codelist label|Reference Source|Reference Link|Status ID|Status label|Parent ID|Successor ID|Predecessor ID
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/phanerozoic|en|Phanerozoic|IUGS /CGI value|Phanerozoic (older bound-542 +/-1 Ma, younger bound-0.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cenozoic|en|Cenozoic|IUGS /CGI value|Cenozoic (older bound-65.5 +/-0.3 Ma, younger bound-0.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/phanerozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/quaternary|en|Quaternary|IUGS /CGI value|Quaternary (older bound-2.588 Ma, younger bound-0.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cenozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene|en|Holocene|IUGS /CGI value|Holocene (older bound-0.0117 Ma, younger bound-0.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/quaternary||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/pleistocene|en|Pleistocene|IUGS /CGI value|Pleistocene (older bound-2.588 Ma, younger bound-0.0117 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/quaternary||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/weichselian|en|Weichselian|TWG-GE term|Weichselian|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/eemian|en|Eemian|TWG-GE term|Eemian|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/saalian|en|Saalian|TWG-GE term|Saalian|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holsteinian|en|Holsteinian|TWG-GE term|Holsteinian|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/elsterian|en|Elsterian|TWG-GE term|Elsterian|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cromerian|en|Cromerian complex|TWG-GE term|Cromerian complex|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/bavelian|en|Bavelian|TWG-GE term|Bavelian|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/latePleistocene|en|Late/Upper Pleistocene|IUGS /CGI value|Late/Upper Pleistocene (older bound-0.126 Ma, younger bound-0.0117 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/superseded|Superseded|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/pleistocene|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperPleistocene|
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ionian|en|Ionian|IUGS /CGI value|Ionian (older bound-0.781 Ma, younger bound-0.126 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/pleistocene||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calabrian|en|Calabrian|IUGS /CGI value|Calabrian (older bound-1.806 Ma, younger bound-0.781 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/pleistocene||
