l	iso	ietf	native	len	lde	lfr	les	lru	lzh	lpt	lit
http://www.wikidata.org/entity/Q72256	spq	spq		Amazonic Spanish			español amazónico	Амазонский испанский язык		Espanhol Amazônico	lingua spagnola amazzonica
http://www.wikidata.org/entity/Q102172	lim	li	Lèmburgs	Limburgish	Limburgisch	limbourgeois	limburgués	лимбургский язык	林堡语	língua limburguesa	limburghese
http://www.wikidata.org/entity/Q102172	lim	li	Limburgs	Limburgish	Limburgisch	limbourgeois	limburgués	лимбургский язык	林堡语	língua limburguesa	limburghese
http://www.wikidata.org/entity/Q112893	lol	lol		Mongo	Lomongo	lomongo		Монго	芒戈語		mongo
http://www.wikidata.org/entity/Q116849	cbn	cbn		Nyah Kur	Nyahkur	nyahkur					nyah kur
http://www.wikidata.org/entity/Q129648	jje	jje		Jeju language		jeju	Idioma jeju	Чеджу	濟州語	Língua jeju	dialetto Jeju
http://www.wikidata.org/entity/Q1747811	nuy	nuy		Nunggubuyu		nunggubuyu				Língua nunggubuyu	lingua nunggubuyu
http://www.wikidata.org/entity/Q1775361	gon	gon		Gondi	Gondi	gondi		Гонди	貢德語	Língua gondi	gondi
http://www.wikidata.org/entity/Q973685	chm	Hill mari		Mari	Mari	mari	idioma mari	марийский язык	马里语	língua mari	mari
http://www.wikidata.org/entity/Q152965	sli	sli	Schläsche Sproache	Silesian German	Schlesisch	silésien	alemán silesio	Силезские диалекты немецкого языка	西里西亞語		tedesco slesiano
http://www.wikidata.org/entity/Q165795	fkv	fkv	kvääni	Kven	Kvenisch	kvène	kven	квенский язык	克文語	kven	kven
http://www.wikidata.org/entity/Q636479	pml	pml		Mediterranean Lingua Franca	Lingua franca	lingua franca	Sabir	Средиземноморский лингва-франка			lingua franca mediterranea
http://www.wikidata.org/entity/Q638300	tjm	tjm		Timucua		timucua	Idioma timucua	Тимукуа			timucua
http://www.wikidata.org/entity/Q668366	gmy	gmy		Mycenaean Greek	Mykenisches Griechisch	mycénien	griego micénico	микенский язык	邁錫尼希臘語	grego micênico	miceneo
http://www.wikidata.org/entity/Q975399	vma	vma		Martuthunira language		martuthunira			馬圖蘇利那語		lingua martuthunira
http://www.wikidata.org/entity/Q977808	blc	blc		Nuxálk language		nuxalk		Нухалк	努哈爾克語	Língua nuxalk	lingua bella coola
http://www.wikidata.org/entity/Q1012917	wuh	wuh		Wutun language	Wutun	wutun	Wutun		五屯話	Wutun	wutun
http://www.wikidata.org/entity/Q2356431	chb	chb		Chibcha		muisca	Idioma muisca	Чибча	切布查語		chibcha
http://www.wikidata.org/entity/Q2360396	bgx	bgx		Balkan Gagauz Turkish		gagaouze des Balkans		балкано-гагаузский язык		Língua gagauz turco-balcânico	lingua turca gagauza balcanica
http://www.wikidata.org/entity/Q2363529	xdm	xdm		Edomite			Idioma edomita	Эдомитский язык		Língua edomita	lingua edomita
http://www.wikidata.org/entity/Q2364661	kwz	kwz		Kwadi	Kwadi	kwadi	Idioma kwadi	Квади		Kwadi	lingua kwadi
http://www.wikidata.org/entity/Q1776032	mrj	mrj	Мары йӹлмӹ	Hill Mari language	Bergmari	mari des montagnes	Mari de las colinas	горномарийский язык	山地馬里語		lingua mari occidentale
http://www.wikidata.org/entity/Q172244	xnb	xnb		Kanakanabu		kanakanabu		Канаканабский язык	卡那卡那富語		kanakanabu
http://www.wikidata.org/entity/Q178440	prs	fa-AF	دری	Dari	Dari	dari	dari	дари	達利語	Língua dari	dari
http://www.wikidata.org/entity/Q178440	prs	prs	دری	Dari	Dari	dari	dari	дари	達利語	Língua dari	dari
http://www.wikidata.org/entity/Q1068097	opm	opm		Oksapmin	Oksapmin	oksapmin	Idioma oksapmin			Língua oksapmin	lingua oksapmin
http://www.wikidata.org/entity/Q2375468	boa	boa		Bora		bora	bora	Бора		Língua bora	bora
http://www.wikidata.org/entity/Q676492	ssf	ssf	Thao	Thao		thao			邵語		lingua thao
http://www.wikidata.org/entity/Q676492	ssf	ssf	Thaw a lalawa	Thao		thao			邵語		lingua thao
http://www.wikidata.org/entity/Q699284	sxu	sxu		Upper Saxon German	Obersächsischer Dialekt	haut-saxon	Alto sajón	Верхнесаксонский диалект	上薩克森德語	Alto saxão	alto sassone
http://www.wikidata.org/entity/Q181037	aln	aln		Gheg Albanian	Gegisch	guègue	Albanés guego	гегский диалект албанского языка			lingua albanese ghega
http://www.wikidata.org/entity/Q181074	xcl	xcl	գրաբար	Classical Armenian	Altarmenisch	arménien classique	armenio clásico	грабар	古典亞美尼亞語	armênio clássico	armeno classico
http://www.wikidata.org/entity/Q205979	sog	sog		Sogdian	Sogdische Sprache	sogdien	Idioma sogdiano	Согдийский язык	粟特语	Língua sogdiana	lingua sogdiana
http://www.wikidata.org/entity/Q2395641	aes	aes		Alsea		alsea	Lenguas alseanas	Алсейские языки			lingua alsea
http://www.wikidata.org/entity/Q2407831	nia	nia		Nias	Nias	niha		Ниасский язык	尼亚斯语	Língua nias	lingua nias
http://www.wikidata.org/entity/Q715755	pwn	pwn		Paiwan		paiwan	Idioma paiwan		排湾语	Língua paiwan	paiwan
http://www.wikidata.org/entity/Q715760	tao	tao		Yami		yami	Lengua yami		達悟語	Língua yami	lingua yami
http://www.wikidata.org/entity/Q178806	dum	dum		Middle Dutch	Mittelniederländisch	moyen néerlandais	neerlandés medio	Средненидерландский язык			olandese medio
http://www.wikidata.org/entity/Q180945	hyw	hyw	արեւմտահայերէն	Western Armenian	Westarmenisch	arménien occidental	Idioma armenio occidental	западноармянский язык	西部亞美尼亞語		dialetto armeno occidentale
http://www.wikidata.org/entity/Q1815020	akz	akz		Alabama	Alabama	alabama	Idioma alabama	Алабамский язык	阿拉巴馬語		lingua alabama
http://www.wikidata.org/entity/Q1815205	tca	tca		Ticuna	Ticuna	ticuna	ticuna	Тыкуна		ticuna	ticuna
http://www.wikidata.org/entity/Q1852329	egy	egy		Late Egyptian	Neuägyptisch	néo-égyptien	egipcio tardío	Новоегипетский язык		egípcio tardio	egizio tardo
http://www.wikidata.org/entity/Q1089069	kzk	kzk		Kazukuru		kazukuru	Idioma kazukuru				Lingua kazukuru
http://www.wikidata.org/entity/Q1091095	gae	gae		Warekena language		guarequena	Warekena	Гуарекена		Uarequenas	lingua Guarequena
http://www.wikidata.org/entity/Q2393095	ood	ood	Tohono O’otham	O'odham		o'odham	o'odham	оодхам	歐罕語		Lingua o'odham
http://www.wikidata.org/entity/Q715766	tay	tay	Atayal	Atayal		atayal		атаяльский язык	泰雅語	Língua atayal	lingua atayal
http://www.wikidata.org/entity/Q716599	sxr	sxr		Saaroa		saaroa			拉阿魯哇語	Língua saaroa	lingua saaroa
http://www.wikidata.org/entity/Q716604	fos	fos		Siraya		siraya			西拉雅語		lingua siraya
http://www.wikidata.org/entity/Q716615	bzg	bzg		Babuza		babuza	babuza		巴布薩語		lingua babuza
http://www.wikidata.org/entity/Q716627	ckv	ckv		Kavalan		kavalan			噶瑪蘭語	Língua kavalan	lingua kavalan
http://www.wikidata.org/entity/Q1875885	amk	amk	bahasa Ambai	Ambai	Ambai	Ambai	Ambai			Ambai	ambai
http://www.wikidata.org/entity/Q1957108	win	win		Winnebago		winnebago	Winnebago	Виннебаго		Língua winnebago	lingua winnebago
http://www.wikidata.org/entity/Q1138351	gct	gct		Colonia Tovar dialect	Alemán Coloniero	alemán coloniero	Alemán coloniero	Алеман колоньеро		Alemão colonieiro	alemán coloniero
http://www.wikidata.org/entity/Q716647	byq	byq		Basay		Basay			巴賽語		lingua basay
http://www.wikidata.org/entity/Q716681	tsu	tsu		Tsou		tsou		Цзоу	鄒語		lingua tsou
http://www.wikidata.org/entity/Q716686	trv	trv		Seediq		seediq			賽德克語	Língua seediq	lingua seediq
http://www.wikidata.org/entity/Q716690	pyu	pyu		Puyuma		puyuma		Пуюма	卑南語		lingua puyuma
http://www.wikidata.org/entity/Q716695	xsy	xsy		Saisiyat		saisiyat			賽夏語		lingua saisiyat
http://www.wikidata.org/entity/Q213434	sgs	sgs	Žemaitiu ruoda	Samogitian	Schemaitisch	samogitien	Idioma samogitiano	жемайтское наречие	薩莫吉提亞語	Samogiciano	samogitico
http://www.wikidata.org/entity/Q216286	bsk	bsk		Burushaski	Burushaski	bourouchaski	Idioma burushaski	Бурушаски	布魯夏斯基語	Língua burushaski	Lingua burushaski
http://www.wikidata.org/entity/Q2429648	poy	poy		Pogolo							pogoro
http://www.wikidata.org/entity/Q1975199	gnk	gnk		Gǁana language		gana		лъгана-цъгви			lingua gǁana
http://www.wikidata.org/entity/Q1142333	tlb	tlb	bahasa Tobelo	Tobelo	Tobelo	tobelo	Tobelo	тобело		Tobelo	tobelo
http://www.wikidata.org/entity/Q1143040	enq	enq		Enga	Enga	enga		энга			lingua enga
http://www.wikidata.org/entity/Q1145414	itk	itk		Judæo-Italian languages		langues judéo-italiennes	Lenguas judeo-italianas	еврейско-итальянские диалекты			Lingua giudeo-italiana
