person	form	kind	code	source
ipni:12306-1	Wagab.	STANDARD	BOT	ipni
ipni:12306-1	Michio Wagabayashi	FULL	ANY	ipni
ipni:12389-1	Curran	STANDARD	BOT	ipni
ipni:12389-1	Mary Katharine Curran	FULL	ANY	ipni
ipni:12444-1	Goujaud	STANDARD	BOT	ipni
ipni:12444-1	Aimé Jacques Alexandre Goujaud	FULL	ANY	ipni
ipni:12584-1	F.F.Jones	STANDARD	BOT	ipni
ipni:12584-1	Florence Freeman Jones	FULL	ANY	ipni
ipni:12584-1	Florence Lucinda Jones	VARIANT	ANY	ipni
ipni:12601-1	Kensit	STANDARD	BOT	ipni
ipni:12601-1	Harriet Margaret Louisa Kensit	FULL	ANY	ipni
ipni:12603-1	P.M.Kern	STANDARD	BOT	ipni
ipni:12603-1	Patricia M. Kern	FULL	ANY	ipni
ipni:12643-1	F.M.Leight.	STANDARD	BOT	ipni
ipni:12643-1	Frances Margaret Leighton	FULL	ANY	ipni
ipni:12870-1	Skalická	STANDARD	BOT	ipni
ipni:12870-1	Anna Skalická	FULL	ANY	ipni
ipni:13050-1	E.G.Clem.	STANDARD	BOT	ipni
ipni:13050-1	Edith Gertrude (Schwartz) Clements	FULL	ANY	ipni
ipni:13406-1	C.O.Goodd.	STANDARD	BOT	ipni
ipni:13406-1	Charlotte Olive Goodding	FULL	ANY	ipni
ipni:13406-1	Charlotte Goodding Reeder	VARIANT	ANY	ipni
ipni:13445-1	Zavort.	STANDARD	BOT	ipni
ipni:13445-1	Joyce E. Zavortink	FULL	ANY	ipni
ipni:13579-1	Fenley	STANDARD	BOT	ipni
ipni:13579-1	Kittie Lucille Fenley	FULL	ANY	ipni
ipni:14106-1	Noerdl.	STANDARD	BOT	ipni
ipni:14106-1	Hermann Noerdlinger	FULL	ANY	ipni
ipni:1513-1	Chandrasekh.	STANDARD	BOT	ipni
ipni:1513-1	P. Chandrasekharan	FULL	ANY	ipni
ipni:15505-1	N.Zhao	STANDARD	BOT	ipni
ipni:15505-1	Neng Zhao	FULL	ANY	ipni
ipni:16499-1	Breen	STANDARD	BOT	ipni
ipni:16499-1	Ruth Olive Schornhurst Breen	FULL	ANY	ipni
ipni:1796-1	Corb.	STANDARD	BOT	ipni
ipni:1796-1	François Marie Louis Corbière	FULL	ANY	ipni
ipni:18685-1	S.G.M.Fawc.	STANDARD	BOT	ipni
ipni:18685-1	Stella Grace Maisie Fawcett	FULL	ANY	ipni
ipni:18944-1	E.F.Franklin	STANDARD	BOT	ipni
ipni:18944-1	Esmé Frances Franklin	FULL	ANY	ipni
ipni:20002549-1	Keiñl.	STANDARD	BOT	ipni
ipni:20002549-1	Keiñl.	FULL	ANY	ipni
ipni:20003022-1	Cañ.-Gib.	STANDARD	BOT	ipni
ipni:20003022-1	Connie Fe Cañete-Gibas	FULL	ANY	ipni
ipni:20006141-2	R.A.Nelson	STANDARD	BOT	ipni
ipni:20006141-2	Ruth Ashton Nelson	FULL	ANY	ipni
ipni:20009311-2	T.B.Zhao	STANDARD	BOT	ipni
ipni:20009311-2	Tianbang Zhao	FULL	ANY	ipni
ipni:20009311-2	Tian Bang Zhao	VARIANT	ANY	ipni
ipni:20009757-1	C.Pedrotti	STANDARD	BOT	ipni
ipni:20009757-1	Carmela Cortini Pedrotti	FULL	ANY	ipni
ipni:20010524-1	Ottaviani	STANDARD	BOT	ipni
ipni:20010524-1	Vicenzo Ottaviani	FULL	ANY	ipni
ipni:20011057-2	Ed.L.Taylor	STANDARD	BOT	ipni
ipni:20011057-2	Edith L. Taylor	FULL	ANY	ipni
ipni:20011057-2	Edith L. Smoot	VARIANT	ANY	ipni
ipni:20015776-1	T.B.Nguyen	STANDARD	BOT	ipni
ipni:20015776-1	Tien Ban Nguyen	FULL	ANY	ipni
ipni:20019047-1	Bano	STANDARD	BOT	ipni
ipni:20019047-1	Roohi Bano	FULL	ANY	ipni
ipni:20020435-1	D.G.Ribeiro	STANDARD	BOT	ipni
