id	wikidata	ipni	zoobank	formerIds	family	given	suffix	born	died	activeFrom	activeTo	groups	source
ipni:12306-1		12306-1			Wagabayashi	Michio		1942				Angiosperms|Gymnosperms	ipni
ipni:12389-1		12389-1			Curran	Mary Katharine		1844	1920			Angiosperms|Gymnosperms	ipni
ipni:12444-1		12444-1			Goujaud	Aimé Jacques Alexandre		1773	1858			Angiosperms|Gymnosperms	ipni
ipni:12584-1		12584-1			Jones	Florence Freeman		1912				Angiosperms|Gymnosperms	ipni
ipni:12601-1		12601-1			Kensit	Harriet Margaret Louisa		1877	1970			Angiosperms|Gymnosperms	ipni
ipni:12603-1		12603-1			Kern	Patricia M.		1940				Angiosperms|Gymnosperms	ipni
ipni:12643-1		12643-1			Leighton	Frances Margaret		1909	2006			Angiosperms|Gymnosperms	ipni
ipni:12870-1		12870-1			Skalická	Anna		1932				Angiosperms|Gymnosperms	ipni
ipni:13050-1		13050-1			Clements	Edith Gertrude (Schwartz)		1877	1971			Angiosperms|Gymnosperms	ipni
ipni:13406-1		13406-1			Goodding	Charlotte Olive		1916	2009			Angiosperms|Gymnosperms	ipni
ipni:13445-1		13445-1			Zavortink	Joyce E.		1930				Angiosperms|Gymnosperms	ipni
ipni:13579-1		13579-1			Fenley	Kittie Lucille		1910				Angiosperms|Gymnosperms	ipni
ipni:14106-1		14106-1			Noerdlinger	Hermann		1818	1897			Angiosperms|Gymnosperms	ipni
ipni:1513-1		1513-1			Chandrasekharan	P.				1957	1957	Angiosperms|Gymnosperms	ipni
ipni:15505-1		15505-1			Zhao	Neng				1980	1980	Angiosperms|Gymnosperms	ipni
ipni:16499-1		16499-1			Breen	Ruth Olive Schornhurst		1905	1987			Bryophytes	ipni
ipni:1796-1		1796-1			Corbière	François Marie Louis		1850	1941			Bryophytes|Angiosperms|Gymnosperms	ipni
ipni:18685-1		18685-1			Fawcett	Stella Grace Maisie		1912	1988			Fungi	ipni
ipni:18944-1		18944-1			Franklin	Esmé Frances		1933				Angiosperms|Gymnosperms	ipni
ipni:20002549-1		20002549-1			Keiñl.					1925	1925	Fungi	ipni
ipni:20003022-1		20003022-1			Cañete-Gibas	Connie Fe				1998	1998	Fungi	ipni
ipni:20006141-2		20006141-2			Nelson	Ruth Ashton		1896	1987			Angiosperms|Gymnosperms	ipni
ipni:20009311-2		20009311-2			Zhao	Tianbang				2003	2003	Angiosperms|Gymnosperms	ipni
ipni:20009757-1		20009757-1			Pedrotti	Carmela Cortini		1931	2007			Bryophytes	ipni
ipni:20010524-1		20010524-1			Ottaviani	Vicenzo		1790	1853			Fungi	ipni
ipni:20011057-2		20011057-2			Taylor	Edith L.		1951					ipni
ipni:20015776-1		20015776-1			Nguyen	Tien Ban		1939				Angiosperms|Gymnosperms	ipni
ipni:20019047-1		20019047-1			Bano	Roohi				2011	2011	Angiosperms|Gymnosperms	ipni
ipni:20020435-1		20020435-1			Ribeiro	Dalva G.				2011	2011	Angiosperms|Gymnosperms	ipni
ipni:20023881-1		20023881-1			Morim	Marli Pires		1952				Angiosperms|Gymnosperms	ipni
ipni:20024699-1		20024699-1			Crantz	David		1723	1777			Bryophytes	ipni
ipni:20024862-1		20024862-1			Bolsanello	Renato Ximenes				2013	2013	Angiosperms|Gymnosperms	ipni
ipni:20027225-1		20027225-1			Řeháková	Klára		1974				Algae	ipni
ipni:20027226-1		20027226-1			Řezáčová	Magda		1981				Algae	ipni
ipni:20027964-1		20027964-1			Kang	Ming		1973				Angiosperms|Gymnosperms	ipni
ipni:20029357-1		20029357-1			Schuetz	Nicole				2015	2015	Angiosperms|Gymnosperms	ipni
ipni:20030925-1		20030925-1			Sampaio	Valéria Silva				2016	2016	Angiosperms|Gymnosperms	ipni
ipni:20031861-1		20031861-1			Yang	Bo Yun				2017	2017	Angiosperms|Gymnosperms	ipni
ipni:20034414-1		20034414-1			Peña	Alexandrina Bácenas				2004	2004	Fungi	ipni
ipni:20034622-1		20034622-1			Amtoft	Anja				2006	2006	Fungi	ipni
