key,type,gbif_key,gbif_publisher_key,license,issued,confidence,completeness,origin,title,alias,description,version,geographic_scope,taxonomic_scope,url,logo,notes,settings,source_key,contact,creator,editor,publisher,contributor
1000,TAXONOMIC,,,CC_BY,2019-05-06,,0,EXTERNAL,Catalogue of Life Hierarchy,ColH,"We present a consensus classification of life to embrace the more than 1.6 million species
already provided by more than 3,000 taxonomists’ expert opinions
in a unified and coherent, hierarchically ranked system known as the Catalogue of Life (CoL).",1.4,,,,,,"{""data access"": ""https://github.com/Sp2000/col-hierarchy/archive/master.zip"", ""data format"": ""coldp"", ""import frequency"": 1}",,"(,,""Markus Döring <markus@mailinator.com>"",,,,,,,,,)","{""(,,\""Michael A. Ruggiero\"",,,,,,,,,)"",""(,,\""Dennis P. Gordon\"",,,,,,,,,)"",""(,,\""Thomas M. Orrell\"",,,,,,,,,)"",""(,Nicolas,Bailly,,,,,,,,,)"",""(,Thierry,Bourgoin,,,,,,,,,)"",""(,,\""Richard C. Brusca\"",,,,,,,,,)"",""(,Thomas,Cavalier-Smith,,,,,,,,,)"",""(,,\""Michael D. Guiry\"",,,,,,,,,)"",""(,,\""Paul M. Kirk\"",,,,,,,,,)""}",{},,
1005,TAXONOMIC,,,CC0,2021-05-07,5,100,EXTERNAL,Catalogue of Craneflies of the World,CCW,"The Catalogue of the Craneflies of the World (CCW; ccw.naturalis.nl) covers all genera, subgenera, species, subspecies, and synonyms of the World Tipuloidea (Insecta – Diptera – Nematocera – families Pediciidae, Limoniidae, Cylindrotomidae, Tipulidae). It also includes up to date information on the distribution of the species and subspecies, specified by countries and, for the larger countries, states, provinces and islands. The website’s list of references has over 7.400 titles, about 4.300 of which available as easy downloadable pdf.",May 2021,Global,Craneflies,https://ccw.naturalis.nl/,https://github.com/Sp2000/colplus-repo/raw/master/logos/CCW.png,,"{""csv quote"": ""\"""", ""data format"": ""coldp"", ""csv delimiter"": ""\t"", ""csv quote escape"": ""\\"", ""import frequency"": -1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,P,Oosterbroek,,,,,,,,,)","{""(,P.,Oosterbroek,,,,,,,,,)""}",,,
1006,TAXONOMIC,,,,2011-03-16,3,50,EXTERNAL,Computer Aided Identification of Phlebotomine sandflies of Americas,CIPA,"CIPA includes information on 418 neotropical sandfly (Phlebotominae) species. These blood-sucking insects are important as vectors transmitting human and animal diseases, e.g. leishmaniasis, bartonellosis, arboviruses. In addition to the data contributed to the Catalogue of Life, CIPA also provides an interactive key and data on the ecology and epidemiology of the group. CIPA is an international project involving experts from 9 countries and was supported by the Program for Science & Technology Cooperation, Office of the Science Advisor, USA; Agency for International Development, and the Scientific & Technical Cooperation, Ministry of Foreign Affairs, France.","3, Mar 2011",,Phlebotomine sandflies,http://cipa.snv.jussieu.fr,https://github.com/Sp2000/colplus-repo/raw/master/logos/CIPA.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/6.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,,""R Vignes-Lebbe & C Gallut"",,,,,,,,,)","{""(,,\""Vignes-Lebbe R. & Gallut C.\"",,,,,,,,,)""}",{},,
1008,TAXONOMIC,,,CC_BY,2015-12-15,4,99,EXTERNAL,The Reptile Database,ReptileDB,"The Reptile Database is a taxonomic database that provides basic information about all living reptile species, such as turtles, snakes, lizards, and crocodiles, as well as tuataras and amphisbaenians, but does not include dinosaurs.",Dec 2015,,Reptiles,http://www.reptile-database.org,https://github.com/Sp2000/colplus-repo/raw/master/logos/ReptileDB.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/8.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": -1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,P,Uetz,,,,,,,,,)","{""(,P.,Uetz,,,,,,,,,)"",""(,J.,Hošek,,,,,,,,,)""}",{},,
1009,TAXONOMIC,,,OTHER,2002-11-27,5,99,EXTERNAL,World Biodiversity Database (Euphausiacea),ETI WBD (Euphausiacea),"ETI is a non-governmental organization in operational relation with UNESCO, dedicated to improving on a global scale the quantity, quality and accessibility of taxonomic information. The ‘Euphausiids of the World Ocean’ database covers all 86 species of the order Euphausiacea (krill) in the oceans, and was produced at the Scripps Institution of Oceanography. It is part of ETI’s World Biodiversity Database. The full database is published on CD-ROM (ISBN 3-540-14673-3), and includes a fully illustrated multiple-entry key, a picture key, interactive distribution maps, and a special database treating larval development for most species.","2.1, Nov 2002",Global,Krill,http://www.eti.uva.nl/database/wbd.html,https://github.com/Sp2000/colplus-repo/raw/master/logos/ETI_WBD_(Euphausiacea).png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/9.tar.gz"", ""data format"": ""acef"", ""import frequency"": 1, ""nomenclatural code"": ""zoological""}",,"(,,""E Brinton, MD Ohman, AW Townsend, MD Knight"",,,,,,,,,)","{""(,E.,Brinton,,,,,,,,,)"",""(,M.D.,Ohman,,,,,,,,,)"",""(,A.W.,Townsend,,,,,,,,,)"",""(,M.D.,Knight,,,,,,,,,)"",""(,A.L.,Bridgeman,,,,,,,,,)""}",,,
1010,TAXONOMIC,,,,2018-02-15,4,99,EXTERNAL,FishBase,FishBase,"FishBase is a global information system with extensive information on all species and subspecies of fish. In addition to the data contributed to the Catalogue of Life, the original FishBase database also includes descriptive, biological, ecological, physiological and conservation data and more, and onward links to information in many other databases. Data entry and maintenance is done mainly at the FishBase Information and Research Group, Inc. (FIN) in the Philippines since the 1st January 2011 in collaboration with many colleagues and institutions around the world. The team was previously hosted in WorldFish since the start in 1990 (formerly ICLARM then called WorldFish Center between 2001-2013, and now WorldFish since 2013). FishBase is supported by a Consortium of nine institutions around the world that acts as the Scientific Committee for FIN. FishBase is funded mainly by the European Commission, and by several other donors. FishBase uses data and information from the Catalog of Fishes (CofF) developed by W.N. Eschmeyer at the California Academy of Science. In particular, FishBase uses CofF as the most complete and up-to-date fish nomenclator, and as a taxonomic authority list in a collaborative work of synchronization of the two databases.",Feb 2018,,Fishes,http://www.fishbase.org,https://github.com/Sp2000/colplus-repo/raw/master/logos/FishBase.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/10.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,""R (FishBase Consortium Scientific Coordinator)"",Froese,,,,,,,,,)",,"{""(,R.,Froese,,,,,,,,,)"",""(,D.,Pauly,,,,,,,,,)""}",,
1011,TAXONOMIC,,,OTHER,2020-06-01,4,95,EXTERNAL,Fulgoromorpha Lists On the Web,FLOW,"FLOW is an on-line database that aims to provide an easy-access synthesis of available biological published primary data on planthoppers (Hemiptera, Fulgoromorpha), a group of major economic importance. It includes information on names, taxa (including fossils), and their classification but also on type depositories, bibliography, distribution and associated biological information such as host-plants. FLOW provides a dynamic link to MNHN Hemiptera specimen collection (particularly type specimens), GBIF occurrences, and provides photos when already available. Dynamic syntheses are also provided for all suprageneric taxa.",8,Global,Planthoppers,http://hemiptera-databases.org/flow/,https://github.com/Sp2000/colplus-repo/raw/master/logos/FLOW.png,,"{""csv quote"": ""\"""", ""data access"": ""https://raw.githubusercontent.com/CatalogueOfLife/data/master/registry/1011.yaml"", ""data format"": ""proxy"", ""csv delimiter"": "","", ""csv quote escape"": ""\\"", ""import frequency"": 7, ""rematch decisions"": true, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,,thierry.bourgoin@mnhn.fr,,,,,,,,,)","{""(,T.,Bourgoin,,,,,,,,,)""}",,,
1012,TAXONOMIC,,,OTHER,2017-10-27,5,100,EXTERNAL,Phylogeny and taxonomy of Glomeromycota (arbuscular mycorrhizal (AM) and related fungi),Glomeromycota,"The Glomeromycota are mycorrhiza forming fungi. Mycorrhiza (literally fungus-root) are mutualistic association of fungi with plant roots and the vast majority of plant species (probably >95%) are associated with mycorrhizal fungi; strictly speaking, plants do not have roots, they have mycorrhiza. The most widely distributed mycorrhizal 'type', both through the plant kingdom (formed by about 80% of all vascular plants) and geographically, is an endomycorrhiza formed by the Glomeromycota and called arbuscular mycorrhiza (AM). In this, hyphae colonize plant cells and produce finely branched structures (the arbuscules). This symbiosis feeds most land plants, the arbuscules facilitating nutrient exchange and water uptake and, by carbohydrate transport to the soil, also represent a relevant terrestrial carbon sink.",Oct 2017,Global,Glomeromycota,http://www.AMF-phylogeny.com,https://github.com/Sp2000/colplus-repo/raw/master/logos/Glomeromycota.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/12.tar.gz"", ""data format"": ""acef"", ""import frequency"": 1, ""nomenclatural code"": ""botanical""}",,"(,""A (custodian)"",Schüßler,,,,,,,,,)","{""(,A.,Schüßler,,,,,,,,,)""}",{},,
1014,TAXONOMIC,,,CC_BY,2020-04-23,5,100,EXTERNAL,ICTV Master Species List,ICTV MSL,"The 7th lCTV Report formalized for the first time the concept of the virus species as the lowest taxon (group) in a branching hierarchy of viral taxa. As defined therein, “a virus species is a polythetic class of viruses that constitute a replicating lineage and occupy a particular ecological niche”. A “polythetic class” is one whose members have several properties in common, although they do not necessarily all share a single common defining property. In other words, the members of a virus species are defined collectively by a consensus group of properties. Virus species thus differ from the higher viral taxa, which are “universal” classes and as such are defined by properties that are necessary for membership.

Viruses are real physical entities produced by biological evolution and genetics, whereas virus species and higher taxa are abstract concepts produced by rational thought and logic. The virus/species relationship thus represents the front line of the interface between biology and logic.
Viruses (including virus isolates, strains, variants, types, sub-types, serotypes, etc.) should wherever possible be assigned as members of the appropriate virus species, although many viruses remain unassigned because they are inadequately characterized.
All virus species must be represented by at least one virus isolate.
Almost all virus species are members of recognized genera. A few species remain unassigned in their families although they have been clearly identified as new species.
Some genera are members of recognized sub-families.
All sub-families and most genera are members of recognized families. Some genera are not yet assigned to a family; in the future they may either join an existing family or constitute a new family with other unassigned genera.
Some families are members of the following recognized orders: Caudovirales, Nidovirales and Mononegavirales.
The hierarchy of recognized viral taxa is therefore:

(Order), Family, (Sub-family), Genus, Species

Only the aforementioned taxa are recognized by the ICTV. Other groupings (from clade to super-family), may communicate useful descriptive information in some circumstances but they have no formally recognized taxonomic meaning. Similarly, the term “quasi-species”, although it captures an important concept, has no recognized taxonomic meaning.
The creation or elimination, (re)naming, and (re)assignment of a virus species, genus, (sub)family, or order are all taxonomic acts that require public scrutiny and debate, leading to formal approval by the full membership of the ICTV. In contrast, the naming of a virus isolate and its assignment to a pre-existing species are not considered taxonomic acts and therefore do not require formal ICTV approval. Instead they will typically be accomplished by publication of a paper describing the virus isolate in the peer-reviewed virology literature.","MSL35, 2019, v1",Global,Viruses,https://talk.ictvonline.org/taxonomy/w/ictv-taxonomy,https://github.com/Sp2000/colplus-repo/raw/master/logos/ICTV_MSL.png,,"{""data access"": ""http://rs.gbif.org/datasets/ictv.zip"", ""data format"": ""coldp"", ""import frequency"": 30, ""nomenclatural code"": ""virus""}",,"(,,info@ictvonline.org,,,,,,,,,)","{""(,,\""Davison, Andrew J.\"",,,,,,,,,)"",""(,Stuart,Siddell,,,,,,,,,)"",""(,Arcady,Mushegian,,,,,,,,,)"",""(,,\""Walker, Peter J.\"",,,,,,,,,)"",""(,,\""Lefkowitz, Elliot J.\"",,,,,,,,,)"",""(,,\""Adriaenssens, Evelien\"",,,,,,,,,)"",""(,Balázs,Harrach,,,,,,,,,)"",""(,,\""Kuhn, Jens H.\"",,,,,,,,,)"",""(,,\""Knowles, Nick J.\"",,,,,,,,,)"",""(,Peter,Simmonds,,,,,,,,,)"",""(,,\""Zerbini, F. Murilo\"",,,,,,,,,)"",""(,Bas,Dutilh,,,,,,,,,)"",""(,Robert,Harrison,,,,,,,,,)"",""(,Sandra,Junglen,,,,,,,,,)"",""(,Mart,Krupovic,,,,,,,,,)"",""(,,\""Nibert, Max L.\"",,,,,,,,,)"",""(,Luisa,Rubino,,,,,,,,,)"",""(,Sead,Sabanadzovic,,,,,,,,,)"",""(,Arvind,Varsani,,,,,,,,,)""}",,,
1015,TAXONOMIC,,,OTHER,2014-05-05,4,96,EXTERNAL,World Database of Legumes,ILDIS,"The International Legume Database and Information Service (ILDIS) is a long-term programme of co-operation among legume specialists world-wide to create a biodiversity database for the Leguminosae (Fabaceae) family. The database provides a taxonomic checklist plus basic factual data on distribution, common names, life-forms, uses, literature references to descriptions, illustrations and maps. Now database includes contribution from ""ILDIS for i4Life"" dataset by M. Novoselova, 2013. In 2000 - 2013, ILDIS was funded by institutions including the Global Biodiversity Information Facility (GBIF), the University of Reading, the Catalogue of Life (CoL), and European Commission projects for taxonomic infrastructures (EuroCat, 4D4Life and i4Life).","12, May 2014",Global,Legumes,,https://github.com/Sp2000/colplus-repo/raw/master/logos/ILDIS.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/15.tar.gz"", ""data format"": ""acef"", ""import frequency"": 1, ""nomenclatural code"": ""botanical""}",,"(,Yuri,Roskov,,,,,,,,,)",{},"{""(,Yuri,Roskov,,,,,,,,,)"",""(,F.,Bisby,,,,,,,,,)"",""(,J.,Zarucchi,,,,,,,,,)"",""(,M.,Novoselova,,,,,,,,,)""}",,
