Column 1	Column 2
ANAMALIA	Animalia
ANIMA	Animalia
ANIMAL	Animalia
ANIMALA	Animalia
ANIMALEPTESICUS	Animalia
ANIMALI	Animalia
ANIMALIA	Animalia
ANIMALIAANIMALIA	Animalia
ANIMALIANIMALIAA	Animalia
ANIMALICHORDATA	Animalia
ANIMALS	Animalia
ANIMAUX	Animalia
ARTHROPODA	Animalia
AVES	Animalia
INVERTEBRADOS	Animalia
METAZOA	Animalia
VANIMALIA	Animalia
VERTEBRADOS	Animalia
BACTERIA	Bacteria
CYANOBACTERIA	Bacteria
EUBACTERIA	Bacteria
MONERA	Bacteria
PROTEOBACTERIA	Bacteria
CHROMISTA	Chromista
FUNGI	Fungi
FUNGI AND LICHENS	Fungi
LICHENES	Fungi
LICHENS	Fungi
BIKONTA	Plantae
CHLOROBIOTA	Plantae
CHLOROPLASTIDA	Plantae
HEPATICAE	Plantae
PLANT	Plantae
PLANTAE	Plantae
PLANTAE PLANTAE	Plantae
PLANTE	Plantae
PLANTEA	Plantae
PLANTS	Plantae
VIRIDAEPLANTAE	Plantae
VIRIDIPLANTAE	Plantae
MONAD	Protozoa
PROTISTA	Protozoa
PROTOCTISTA	Protozoa
PROTOZOA	Protozoa
VIRUS	Viruses
ALGAE	
EUKARYA	
