ISO	english	native
abk	Abkhazian	Abkhazian
aar	Afar	Afar
afr	Afrikaans	Afrikaans
aka	Akan	Akan
sqi	Albanian	shqip
amh	Amharic	Amharic
ara	Arabic	العربية
arg	Aragonese	Aragonese
hye	Armenian	Armenian
asm	Assamese	Assamese
ava	Avaric	Avaric
ave	Avestan	Avestan
aym	Aymara	Aymara
aze	Azerbaijani	Azerbaijani
bam	Bambara	Bambara
bak	Bashkir	Bashkir
eus	Basque	Basque
bel	Belarusian	беларускі
ben	Bengali	Bengali
bih	Bihari	Bihari
bis	Bislama	Bislama
bos	Bosnian	Bosnian
bre	Breton	Breton
bul	Bulgarian	български
mya	Burmese	Burmese
cat	Catalan	català
cha	Chamorro	Chamorro
che	Chechen	Chechen
zho	Chinese	中文
chu	Church Slavic	Church Slavic
chv	Chuvash	Chuvash
cor	Cornish	Cornish
cos	Corsican	Corsican
cre	Cree	Cree
hrv	Croatian	hrvatski
ces	Czech	čeština
dan	Danish	Dansk
div	Divehi	Divehi
nld	Dutch	Nederlands
dzo	Dzongkha	Dzongkha
eng	English	English
epo	Esperanto	Esperanto
est	Estonian	Eesti
ewe	Ewe	Ewe
fao	Faroese	Faroese
fij	Fijian	Fijian
fin	Finnish	suomi
fra	French	français
fry	Frisian	Frisian
ful	Fulah	Fulah
glg	Gallegan	Gallegan
lug	Ganda	Ganda
kat	Georgian	Georgian
deu	German	Deutsch
ell	Greek	Ελληνικά
kal	Greenlandic	Greenlandic
grn	Guarani	Guarani
guj	Gujarati	Gujarati
hat	Haitian	Haitian
hau	Hausa	Hausa
heb	Hebrew	עברית
her	Herero	Herero
hin	Hindi	हिंदी
hmo	Hiri Motu	Hiri Motu
hun	Hungarian	magyar
isl	Icelandic	íslenska
ido	Ido	Ido
ibo	Igbo	Igbo
ind	Indonesian	Bahasa Indonesia
ina	Interlingua	Interlingua
ile	Interlingue	Interlingue
iku	Inuktitut	Inuktitut
ipk	Inupiaq	Inupiaq
gle	Irish	Gaeilge
ita	Italian	italiano
jpn	Japanese	日本語
jav	Javanese	Javanese
kan	Kannada	Kannada
kau	Kanuri	Kanuri
kas	Kashmiri	Kashmiri
kaz	Kazakh	Kazakh
khm	Khmer	Khmer
kik	Kikuyu	Kikuyu
kin	Kinyarwanda	Kinyarwanda
kir	Kirghiz	Kirghiz
kom	Komi	Komi
kon	Kongo	Kongo
kor	Korean	한국어
kur	Kurdish	Kurdish
kua	Kwanyama	Kwanyama
lao	Lao	Lao
lat	Latin	Latin
lav	Latvian	Latviešu
lim	Limburgish	Limburgish
lin	Lingala	Lingala
lit	Lithuanian	Lietuvių
lub	Luba-Katanga	Luba-Katanga
ltz	Luxembourgish	Luxembourgish
mkd	Macedonian	македонски
mlg	Malagasy	Malagasy
msa	Malay	Bahasa Melayu
mal	Malayalam	Malayalam
mlt	Maltese	Malti
glv	Manx	Manx
mri	Maori	Maori
mar	Marathi	Marathi
mah	Marshallese	Marshallese
mol	Moldavian	Moldavian
mon	Mongolian	Mongolian
nau	Nauru	Nauru
nav	Navajo	Navajo
ndo	Ndonga	Ndonga
nep	Nepali	Nepali
nde	North Ndebele	North Ndebele
sme	Northern Sami	Northern Sami
nob	Norwegian Bokmål	Norwegian Bokmål
nno	Norwegian Nynorsk	Norwegian Nynorsk
nor	Norwegian	norsk
nya	Nyanja	Nyanja
oci	Occitan	Occitan
oji	Ojibwa	Ojibwa
ori	Oriya	Oriya
orm	Oromo	Oromo
oss	Ossetian	Ossetian
pli	Pali	Pali
pan	Panjabi	Panjabi
fas	Persian	Persian
pol	Polish	polski
por	Portuguese	português
pus	Pushto	Pushto
que	Quechua	Quechua
roh	Raeto-Romance	Raeto-Romance
ron	Romanian	română
run	Rundi	Rundi
rus	Russian	русский
smo	Samoan	Samoan
sag	Sango	Sango
san	Sanskrit	Sanskrit
srd	Sardinian	Sardinian
gla	Scottish Gaelic	Scottish Gaelic
srp	Serbian	Српски
sna	Shona	Shona
iii	Sichuan Yi	Sichuan Yi
snd	Sindhi	Sindhi
sin	Sinhalese	Sinhalese
slk	Slovak	Slovenčina
slv	Slovenian	Slovenščina
som	Somali	Somali
nbl	South Ndebele	South Ndebele
sot	Southern Sotho	Southern Sotho
spa	Spanish	español
sun	Sundanese	Sundanese
swa	Swahili	Swahili
ssw	Swati	Swati
swe	Swedish	svenska
tgl	Tagalog	Tagalog
tah	Tahitian	Tahitian
tgk	Tajik	Tajik
tam	Tamil	Tamil
tat	Tatar	Tatar
tel	Telugu	Telugu
tha	Thai	ไทย
bod	Tibetan	Tibetan
tir	Tigrinya	Tigrinya
ton	Tonga	Tonga
tso	Tsonga	Tsonga
tsn	Tswana	Tswana
tur	Turkish	Türkçe
tuk	Turkmen	Turkmen
twi	Twi	Twi
uig	Uighur	Uighur
ukr	Ukrainian	українська
urd	Urdu	Urdu
uzb	Uzbek	Uzbek
ven	Venda	Venda
vie	Vietnamese	Tiếng Việt
vol	Volapük	Volapük
wln	Walloon	Walloon
cym	Welsh	Welsh
wol	Wolof	Wolof
xho	Xhosa	Xhosa
yid	Yiddish	Yiddish
yor	Yoruba	Yoruba
zha	Zhuang	Zhuang
zul	Zulu	Zulu
