Acanthoceraria # Diptera, Hemiptera
Acanthocerataceae # Molluscs, Protists
Acanthocerini # Coleoptera, Diptera, Hemiptera
Achelidae # Hemiptera, OtherArthropods
Acontiinae # Chordates, Lepidoptera
Acridinae # Chordates, Orthoptera
Acrocephalidae # Chordates, Hemiptera
Actaeinae # Crustacean, Plants
Adeliini # Coleoptera, Hymenoptera
Alsophilinae # Lepidoptera, Plants
Amaryllidinae # Crustacean, Plants
Amphicominae # Coleoptera, Plants
Amphinomidae # Diptera, OtherAnimals
Amphinominae # Diptera, OtherAnimals
Anaplectidae # OtherAnimals, OtherInsects
Anaplectinae # OtherAnimals, OtherInsects
Ancylini # Hymenoptera, Lepidoptera, Molluscs
Angelidae # OtherAnimals, OtherInsects
Anthiinae # Chordates, Coleoptera
Anthracina # Coleoptera, Diptera
Anthracini # Coleoptera, Diptera
Antoniinae # Diptera, Plants
Apoda # Crustacean, OtherAnimals
Aprionini # Diptera, Orthoptera
Arctiinae # Lepidoptera, Plants
Argidae # Chordates, Hymenoptera
Armadillinae # Crustacean, OtherArthropods
Arteminae # Arachnids, Molluscs
Asaphidae # Molluscs, OtherArthropods
Ascarididae # Diptera, OtherAnimals
Asteriidae # Diptera, OtherAnimals
Asteropidae # Crustacean, OtherAnimals
Atyidae # Crustacean, Molluscs
Bdelloidea # Arachnids, OtherAnimals
Belliinae # Crustacean, Plants
Bombycidae # Diptera, Lepidoptera
Brachycerinae # Coleoptera, OtherInsects
Brachycolini # Hemiptera, OtherInsects
Brachypterinae # Coleoptera, OtherInsects
Brachyscelidae # Crustacean, Hemiptera
Bufonidae # Chordates, Orthoptera
Callicerini # Coleoptera, Diptera
Camptocerini # Coleoptera, Hemiptera
Canuellidae # Crustacean, OtherArthropods
Carinae # Coleoptera, Plants
Catiniidae # Coleoptera, Crustacean
Cephalina # Diptera, Protists
Cepheidae # Arachnids, OtherAnimals
Cepolidae # Chordates, Gastropods
Ceratophyllidae # OtherInsects, Plants
Cercyonina # Coleoptera, Lepidoptera
Ceromidae # Arachnids, Diptera
Charinidae # Arachnids, Chordates
Chilodontidae # Chordates, Gastropods
Chiromyidae # Chordates, Diptera
Chlamydini # Coleoptera, Molluscs
Choristidae # Molluscs, OtherInsects
Chrysochlorinae # Chordates, Diptera
Chrysopinae # Diptera, OtherInsects
Clavigerinae # Coleoptera, OtherAnimals
Clionidae # Gastropods, OtherAnimals
Clytini # Coleoptera, Diptera
Colotini # Coleoptera, Lepidoptera
Conocephalinae # Orthoptera, Plants
Conophorini # Coleoptera, Diptera
Corydalinae # OtherInsects, Plants
Corystidae # Crustacean, OtherAnimals
Crambinae # Lepidoptera, Plants
Crocidiinae # Diptera, Plants
Crocinae # OtherInsects, Plants
Ctenodesmini # Molluscs, OtherArthropods
Cymatiinae # Hemiptera, Molluscs
Cythereinae # Diptera, Molluscs
Dictyophorinae # Hemiptera, Orthoptera
Dictyophorini # Hemiptera, Orthoptera
Dinetinae # Hymenoptera, Plants
Discidae # Diptera, Gastropods
Dolichopodae # Diptera, Orthoptera
Dolichopodinae # Diptera, Orthoptera
Dolichopodini # Diptera, Orthoptera
Drapetini # Coleoptera, Diptera
Drepanidae # Chordates, Lepidoptera
Elachistinae # Hymenoptera, Lepidoptera
Eriphidae # Crustacean, Diptera
Eriphiidae # Crustacean, Diptera
Erycinae # Chordates, Diptera
Erycinidae # Diptera, Molluscs
Eucharidae # Hymenoptera, Molluscs, OtherAnimals
Euchelicerata # Arachnids, OtherArthropods
Euderinae # Coleoptera, Hymenoptera
Euderini # Coleoptera, Hymenoptera
Euglenidae # Coleoptera, Protists
Eutelini # Coleoptera, Hymenoptera
Euxestidae # Coleoptera, Diptera
Euxestinae # Coleoptera, Diptera
Fideliinae # Hymenoptera, Plants
Galeodidae # Arachnids, Molluscs
Gatuniidae # Coleoptera, Crustacean
Georissidae # Coleoptera, Molluscs
Geryonidae # Crustacean, OtherAnimals
Glyptini # Coleoptera, Hymenoptera
Hedylidae # Lepidoptera, Molluscs
Heleoperidae # Coleoptera, Protists
Hemiarthridae # Crustacean, Molluscs
Hersiliidae # Arachnids, Crustacean
Heterocheilidae # Diptera, OtherAnimals
Heterogynidae # Hymenoptera, Lepidoptera
Hyalidae # Crustacean, Molluscs
Hyperbionycidae # Arachnids, Protists
Janinae # Lepidoptera, Molluscs
Koenenitidae # Arachnids, Molluscs
Lachnina # Coleoptera, Hemiptera
Lamiinae # Coleoptera, Plants
Lauridae # Crustacean, Plants
Ledinae # Hemiptera, Plants
Lepidopinae # Chordates, Crustacean
Leptoceridae # Diptera, Trichoptera
Leptocerinae # Diptera, Trichoptera
Leptopodidae # Crustacean, Hemiptera
Leptopodinae # Diptera, Hemiptera
Leptosomatidae # Chordates, OtherAnimals
Leuconidae # Crustacean, OtherAnimals
Licininae # Coleoptera, Molluscs
Limoniinae # Diptera, Plants
Liparidae # Chordates, Lepidoptera
Lithinini # Coleoptera, Lepidoptera
Lomatiinae # Diptera, Plants
Longipediidae # Crustacean, OtherArthropods
Loriculinae # Chordates, Crustacean
Ludioidae # Coleoptera, Protists
Lyctidae # Coleoptera, Diptera
Machaeridia # Orthoptera, OtherAnimals
Macroglossinae # Chordates, Lepidoptera
Macropodini # Chordates, Coleoptera
Meconemini # Coleoptera, Orthoptera
Megalodontoidea # Bivalves, Hymenoptera
Megalopidae # Chordates, Crustacean
Melaphini # Hemiptera, OtherArthropods
Merodontini # Coleoptera, Diptera
Metopidae # Diptera, Protists
Metopiidae # Diptera, Protists
Metopiinae # Diptera, Hymenoptera
Metoponiinae # Diptera, Lepidoptera
Metridiidae # Crustacean, OtherAnimals
Microcentrini # Hemiptera, Orthoptera
Microdontidae # Diptera, Molluscs
Milleriinae # Lepidoptera, Plants
Miracinae # Crustacean, Hymenoptera
Mirini # Coleoptera, Hemiptera, Hymenoptera
Myorhinini # Coleoptera, Diptera
Necronectinae # Coleoptera, Crustacean
Nereidae # Diptera, OtherAnimals
Neriinae # Diptera, Plants
Nesaeinae # Crustacean, Plants
Niphoninae # Chordates, Coleoptera
Niphonini # Chordates, Coleoptera
Niponiinae # Coleoptera, OtherArthropods
Norellinae # Diptera, OtherAnimals
Nycteridae # Chordates, Diptera
Ommatolampina # Coleoptera, Orthoptera
Ommatolampini # Coleoptera, Orthoptera
Ophthalmidae # Hemiptera, Molluscs
Otididae # Chordates, Diptera
Pachymerina # Coleoptera, Hemiptera
Pachymerini # Coleoptera, Hemiptera
Pachyneurinae # Diptera, Hymenoptera
Panopeidae # Crustacean, Molluscs
Panopeinae # Crustacean, Molluscs
Peltidae # Coleoptera, Molluscs
Peltonotini # Coleoptera, Hemiptera
Peranemataceae # Protists, Pteridophytes
Perichaetidae # Diptera, OtherAnimals
Personidae # Gastropods, OtherInsects
Petrobiinae # OtherInsects, Plants
Phasianidae # Chordates, Diptera
Phenacinae # Hemiptera, Plants
Phoridae # Diptera, Molluscs
Phrynidae # Arachnids, Diptera
Phycinae # Chordates, Diptera
Phyllophoridae # Orthoptera, OtherAnimals
Phyllophorinae # Orthoptera, OtherAnimals
Phymatidae # Hemiptera, Orthoptera
Plutoniinae # Molluscs, OtherArthropods
Polydesmidae # Molluscs, OtherArthropods
Ponerinae # Hymenoptera, Plants
Psilini # Diptera, Hymenoptera
Pteroniinae # Coleoptera, Plants
Pyrinae # Crustacean, Plants
Raphidae # Chordates, Diptera
Raphiinae # Diptera, Lepidoptera
Raphinae # Chordates, Diptera
Rivulinae # Chordates, Lepidoptera
Saginae # Orthoptera, Plants
Sagittariidae # Chordates, Protists
Saturniidae # Lepidoptera, Molluscs
Scarini # Chordates, Hemiptera
Scatophagidae # Chordates, Diptera
Schizopetalinae # OtherArthropods, Plants
Scinidae # Crustacean, Diptera
Serendipidae # Diptera, OtherAnimals
Siinae # Orthoptera, Plants
Soleniscinae # Coleoptera, Molluscs
Sphaeriidae # Bivalves, Coleoptera
Sphaeriini # Coleoptera, Molluscs
Spondylinae # Coleoptera, Molluscs
Steropinae # Coleoptera, Crustacean
Streblinae # Diptera, Plants
Stygnidae # Arachnids, Insects
Syntomini # Coleoptera, Lepidoptera
Systenini # Coleoptera, Diptera
Tachinidae # Coleoptera, Diptera
Tachinides # Coleoptera, Diptera
Tachinini # Coleoptera, Diptera
Tettigoniae # Hemiptera, Orthoptera
Tettigoniidae # Hemiptera, Orthoptera
Teutoniidae # Arachnids, OtherInsects
Thaididae # Arachnids, Molluscs
Tincidae # Chordates, Lepidoptera
Titaniidae # Crustacean, Diptera
Toxoderini # Coleoptera, OtherInsects
Trachinidae # Chordates, Diptera
Trapeziidae # Crustacean, Molluscs
Triarthriina # Coleoptera, Diptera
Trichiinae # Coleoptera, Molluscs
Trichopterygini # Coleoptera, Lepidoptera
Trichosidae # Arachnids, Protists
Trochiliidae # Chordates, Lepidoptera, Protists
Tropidiina # Coleoptera, Diptera
Urostylidae # Hemiptera, Protists
Varuninae # Crustacean, OtherAnimals
Xylophagidae # Diptera, Molluscs
Xylophaginae # Diptera, Molluscs
Zygaenidae # Chordates, Lepidoptera
